Shanghai,24256800
Beijing,21516000
Delhi,16787941
Lagos,16060303
Tianjin,15200000
Karachi,14910352
Istanbul,14160467
Tokyo,13513734
Guangzhou,13080500
Mumbai,12422373
Moscow,12380664
Sao Paulo,12038175
Lahore,11126285
Shenzhen,10467400
Jakarta,10075310
Seoul,9995784
Wuhan,9785392
Kinshasa,9735000
Cairo,9278441
Dhaka,8906039
Mexico City,8874724
Lima,8693387
London,8673713
New York City,8537673
Bengaluru,8443675
Bangkok,8280925
Ho Chi Minh City,8224400
Dongguan,8220207
Chongqing,8189800
Nanjing,8187828
